[2026-05-06 10:17:13] MOVE asha (blue): 48→111 [0.1ms]
[2026-05-06 10:17:14] MOVE chetan (red): 7→4 [0.2ms]
[2026-05-06 10:17:15] MOVE asha (blue): 115→117 [0.1ms]
[2026-05-06 10:17:16] MOVE chetan (red): 4→7 [0.1ms]
[2026-05-06 10:17:17] MOVE asha (blue): 102→115 [0.2ms]
[2026-05-06 10:17:18] MOVE chetan (red): 7→4 [0.1ms]
[2026-05-06 10:17:19] MOVE asha (blue): 119→112 [0.1ms]
[2026-05-06 10:17:20] MOVE chetan (red): 4→7 [0.1ms]
[2026-05-06 10:17:21] MOVE asha (blue): 112→119 [0.1ms]
[2026-05-06 10:17:22] MOVE chetan (red): 7→4 [0.1ms]
[2026-05-06 10:17:23] MOVE asha (blue): 119→112 [0.1ms]
[2026-05-06 10:17:24] MOVE chetan (red): 4→7 [0.1ms]
[2026-05-06 10:17:25] MOVE asha (blue): 112→119 [0.2ms]
[2026-05-06 10:17:26] MOVE chetan (red): 7→4 [0.1ms]
[2026-05-06 10:17:27] MOVE asha (blue): 119→112 [0.2ms]
[2026-05-06 10:17:28] MOVE chetan (red): 4→7 [0.2ms]
[2026-05-06 10:17:29] MOVE asha (blue): 112→119 [0.2ms]
[2026-05-06 10:17:30] MOVE chetan (red): 7→4 [0.1ms]
[2026-05-06 10:17:31] MOVE asha (blue): 119→112 [0.1ms]
[2026-05-06 10:17:32] MOVE chetan (red): 4→7 [0.1ms]
[2026-05-06 10:17:33] MOVE asha (blue): 112→119 [0.2ms]
[2026-05-06 10:17:34] MOVE chetan (red): 7→4 [0.1ms]
[2026-05-06 10:17:35] MOVE asha (blue): 119→112 [0.1ms]
[2026-05-06 10:17:36] MOVE chetan (red): 4→7 [0.1ms]
[2026-05-06 10:17:37] MOVE asha (blue): 112→119 [0.1ms]
[2026-05-06 10:17:38] MOVE chetan (red): 7→4 [0.1ms]
[2026-05-06 10:17:39] MOVE asha (blue): 119→112 [0.1ms]
[2026-05-06 10:17:40] MOVE chetan (red): 4→7 [0.1ms]
[2026-05-06 10:17:41] MOVE asha (blue): 112→119 [0.1ms]
[2026-05-06 10:17:42] MOVE chetan (red): 7→4 [0.1ms]
[2026-05-06 10:17:43] MOVE asha (blue): 119→112 [0.1ms]
[2026-05-06 10:17:44] MOVE chetan (red): 4→7 [0.2ms]
[2026-05-06 10:17:45] MOVE asha (blue): 112→119 [0.2ms]
[2026-05-06 10:17:46] MOVE chetan (red): 7→4 [0.2ms]
[2026-05-06 10:17:47] MOVE asha (blue): 119→112 [0.2ms]
[2026-05-06 10:17:48] MOVE chetan (red): 4→7 [0.1ms]
[2026-05-06 10:17:49] MOVE asha (blue): 112→119 [0.1ms]
[2026-05-06 10:17:50] MOVE chetan (red): 7→4 [0.4ms]
[2026-05-06 10:17:51] MOVE asha (blue): 78→89 [0.3ms]
[2026-05-06 10:17:52] MOVE chetan (red): 4→7 [0.7ms]
[2026-05-06 10:17:53] MOVE asha (blue): 89→102 [4.7ms]
[2026-05-06 10:17:54] MOVE chetan (red): 7→4 [0.1ms]
[2026-05-06 10:17:54] MOVE asha (blue): 117→113 [0.1ms]
[2026-05-06 10:17:55] MOVE chetan (red): 4→7 [0.1ms]
[2026-05-06 10:17:56] MOVE asha (blue): 113→117 [0.1ms]
[2026-05-06 10:17:57] MOVE chetan (red): 7→4 [0.2ms]
[2026-05-06 10:17:58] MOVE asha (blue): 117→113 [0.1ms]
[2026-05-06 10:17:59] MOVE chetan (red): 4→7 [0.1ms]
[2026-05-06 10:18:00] MOVE asha (blue): 119→117 [0.1ms]
[2026-05-06 10:18:01] MOVE chetan (red): 7→4 [0.1ms]
[2026-05-06 10:18:02] MOVE asha (blue): 117→119 [0.1ms]
[2026-05-06 10:18:03] MOVE chetan (red): 4→7 [0.2ms]
[2026-05-06 10:18:04] MOVE asha (blue): 113→117 [0.1ms]
[2026-05-06 10:18:05] MOVE chetan (red): 7→4 [0.1ms]
[2026-05-06 10:18:06] MOVE asha (blue): 119→114 [0.2ms]
[2026-05-06 10:18:07] MOVE chetan (red): 4→7 [0.1ms]
[2026-05-06 10:18:08] MOVE asha (blue): 114→119 [0.1ms]
[2026-05-06 10:18:09] MOVE chetan (red): 7→4 [0.1ms]
[2026-05-06 10:18:10] MOVE asha (blue): 119→112 [0.1ms]
[2026-05-06 10:18:11] MOVE chetan (red): 4→7 [0.2ms]
[2026-05-06 10:18:12] MOVE asha (blue): 112→119 [0.2ms]
[2026-05-06 10:18:13] MOVE chetan (red): 7→4 [0.1ms]
[2026-05-06 10:18:13] MOVE asha (blue): 117→113 [0.1ms]
[2026-05-06 10:18:14] MOVE chetan (red): 4→7 [0.1ms]
[2026-05-06 10:18:15] MOVE asha (blue): 113→117 [0.2ms]
[2026-05-06 10:18:16] MOVE chetan (red): 7→4 [0.3ms]
[2026-05-06 10:18:17] MOVE asha (blue): 117→113 [0.1ms]
[2026-05-06 10:18:18] MOVE chetan (red): 4→7 [0.1ms]
[2026-05-06 10:18:19] MOVE asha (blue): 119→117 [0.1ms]
[2026-05-06 10:18:20] MOVE chetan (red): 7→4 [0.3ms]
[2026-05-06 10:18:20] MOVE asha (blue): 117→119 [0.1ms]
[2026-05-06 10:18:21] MOVE chetan (red): 4→7 [0.1ms]
[2026-05-06 10:18:22] MOVE asha (blue): 113→117 [0.1ms]
[2026-05-06 10:18:23] MOVE chetan (red): 7→4 [0.2ms]
[2026-05-06 10:18:24] MOVE asha (blue): 117→113 [0.2ms]
[2026-05-06 10:18:25] MOVE chetan (red): 4→7 [0.1ms]
[2026-05-06 10:18:26] MOVE asha (blue): 113→117 [0.1ms]
[2026-05-06 10:18:27] MOVE chetan (red): 7→4 [0.1ms]
[2026-05-06 10:18:28] MOVE asha (blue): 117→113 [0.1ms]
[2026-05-06 10:18:29] MOVE chetan (red): 4→7 [0.2ms]
[2026-05-06 10:18:30] MOVE asha (blue): 119→117 [0.3ms]
[2026-05-06 10:18:31] MOVE chetan (red): 7→4 [0.2ms]
[2026-05-06 10:18:32] MOVE asha (blue): 117→119 [0.1ms]
[2026-05-06 10:18:33] MOVE chetan (red): 4→7 [0.1ms]
[2026-05-06 10:18:34] MOVE asha (blue): 113→117 [0.1ms]
[2026-05-06 10:18:35] MOVE chetan (red): 7→4 [0.1ms]
[2026-05-06 10:18:36] MOVE asha (blue): 117→113 [0.1ms]
[2026-05-06 10:18:37] MOVE chetan (red): 4→7 [0.2ms]
[2026-05-06 10:18:38] MOVE asha (blue): 113→117 [0.1ms]
[2026-05-06 10:18:39] MOVE chetan (red): 7→4 [0.1ms]
[2026-05-06 10:18:40] MOVE asha (blue): 117→113 [0.2ms]
[2026-05-06 10:18:41] MOVE chetan (red): 4→7 [0.1ms]
[2026-05-06 10:18:42] MOVE asha (blue): 113→117 [0.2ms]
[2026-05-06 10:18:43] MOVE chetan (red): 7→4 [0.1ms]
[2026-05-06 10:18:44] MOVE asha (blue): 119→112 [0.2ms]
[2026-05-06 10:18:45] MOVE chetan (red): 4→7 [0.2ms]
[2026-05-06 10:18:46] MOVE asha (blue): 112→119 [0.1ms]
[2026-05-06 10:18:47] MOVE chetan (red): 7→4 [0.1ms]
[2026-05-06 10:18:48] MOVE asha (blue): 117→114 [0.1ms]
[2026-05-06 10:18:49] MOVE chetan (red): 4→7 [0.1ms]
[2026-05-06 10:18:50] MOVE asha (blue): 114→117 [0.1ms]
[2026-05-06 10:18:51] MOVE chetan (red): 7→4 [0.1ms]
[2026-05-06 10:18:51] MOVE asha (blue): 117→114 [0.1ms]
[2026-05-06 10:18:52] MOVE chetan (red): 4→7 [0.2ms]
[2026-05-06 10:18:53] MOVE asha (blue): 114→117 [0.3ms]
[2026-05-06 10:18:54] MOVE chetan (red): 7→4 [0.1ms]
[2026-05-06 10:18:55] MOVE asha (blue): 117→114 [0.1ms]
[2026-05-06 10:18:56] MOVE chetan (red): 4→7 [0.1ms]
[2026-05-06 10:18:57] MOVE asha (blue): 114→117 [0.2ms]
[2026-05-06 10:18:58] MOVE chetan (red): 7→4 [0.2ms]
[2026-05-06 10:18:59] MOVE asha (blue): 117→113 [0.1ms]
[2026-05-06 10:19:00] MOVE chetan (red): 4→7 [0.2ms]
[2026-05-06 10:19:01] MOVE asha (blue): 119→117 [0.2ms]
[2026-05-06 10:19:02] MOVE chetan (red): 7→4 [0.1ms]
[2026-05-06 10:19:03] MOVE asha (blue): 117→119 [0.2ms]
[2026-05-06 10:19:04] MOVE chetan (red): 4→7 [0.2ms]
[2026-05-06 10:19:04] MOVE asha (blue): 113→117 [0.1ms]
[2026-05-06 10:19:05] MOVE chetan (red): 7→4 [0.1ms]
[2026-05-06 10:19:06] MOVE asha (blue): 117→113 [0.1ms]
[2026-05-06 10:19:07] MOVE chetan (red): 4→7 [0.2ms]
[2026-05-06 10:19:08] MOVE asha (blue): 119→117 [0.1ms]
[2026-05-06 10:19:09] MOVE chetan (red): 7→4 [0.1ms]
[2026-05-06 10:19:10] MOVE asha (blue): 117→119 [0.2ms]
[2026-05-06 10:19:11] MOVE chetan (red): 4→7 [0.1ms]
[2026-05-06 10:19:12] MOVE asha (blue): 113→117 [0.1ms]
[2026-05-06 10:19:13] MOVE chetan (red): 7→4 [0.3ms]
[2026-05-06 10:19:14] MOVE asha (blue): 117→113 [0.1ms]
[2026-05-06 10:19:15] MOVE chetan (red): 4→7 [0.2ms]
[2026-05-06 10:19:16] MOVE asha (blue): 119→117 [0.2ms]
[2026-05-06 10:19:17] MOVE chetan (red): 7→4 [0.3ms]
[2026-05-06 10:19:18] MOVE asha (blue): 117→119 [0.1ms]
[2026-05-06 10:19:19] MOVE chetan (red): 4→7 [0.1ms]
[2026-05-06 10:19:20] MOVE asha (blue): 113→117 [0.1ms]
[2026-05-06 10:19:21] MOVE chetan (red): 7→4 [0.3ms]
[2026-05-06 10:19:22] MOVE asha (blue): 117→113 [0.1ms]
[2026-05-06 10:19:23] MOVE chetan (red): 4→7 [0.2ms]
[2026-05-06 10:19:23] MOVE asha (blue): 113→117 [0.2ms]
[2026-05-06 10:19:24] MOVE chetan (red): 7→4 [0.1ms]
[2026-05-06 10:19:25] MOVE asha (blue): 117→113 [0.2ms]
[2026-05-06 10:19:26] MOVE chetan (red): 4→7 [0.1ms]
[2026-05-06 10:19:27] MOVE asha (blue): 113→117 [0.1ms]
[2026-05-06 10:19:28] MOVE chetan (red): 7→4 [0.1ms]
[2026-05-06 10:19:29] MOVE asha (blue): 117→113 [0.1ms]
[2026-05-06 10:19:29] MOVE chetan (red): 4→7 [0.1ms]
[2026-05-06 10:19:30] MOVE asha (blue): 113→117 [0.1ms]
[2026-05-06 10:19:31] MOVE chetan (red): 7→4 [0.1ms]
[2026-05-06 10:19:32] MOVE asha (blue): 117→113 [0.1ms]
[2026-05-06 10:19:33] MOVE chetan (red): 4→7 [0.2ms]
[2026-05-06 10:19:34] MOVE asha (blue): 113→117 [0.2ms]
[2026-05-06 10:19:35] MOVE chetan (red): 7→4 [0.2ms]
[2026-05-06 10:19:35] MOVE asha (blue): 117→113 [0.2ms]
[2026-05-06 10:19:36] MOVE chetan (red): 4→7 [0.1ms]
[2026-05-06 10:19:37] MOVE asha (blue): 113→117 [0.2ms]
[2026-05-06 10:19:38] MOVE chetan (red): 7→4 [0.3ms]
[2026-05-06 10:19:39] MOVE asha (blue): 117→113 [0.1ms]
[2026-05-06 10:19:40] MOVE chetan (red): 4→7 [0.1ms]
[2026-05-06 10:19:41] MOVE asha (blue): 113→117 [0.7ms]
[2026-05-06 10:19:42] MOVE chetan (red): 7→4 [0.1ms]
[2026-05-06 10:19:43] MOVE asha (blue): 119→112 [0.1ms]
[2026-05-06 10:19:44] MOVE chetan (red): 4→7 [0.1ms]
[2026-05-06 10:19:45] MOVE asha (blue): 112→119 [0.1ms]
[2026-05-06 10:19:46] MOVE chetan (red): 7→4 [0.1ms]
[2026-05-06 10:19:46] MOVE asha (blue): 117→113 [0.1ms]
[2026-05-06 10:19:47] MOVE chetan (red): 4→7 [0.1ms]
[2026-05-06 10:19:48] MOVE asha (blue): 113→117 [0.1ms]
[2026-05-06 10:19:49] MOVE chetan (red): 7→4 [0.1ms]
[2026-05-06 10:19:50] MOVE asha (blue): 117→113 [0.3ms]
[2026-05-06 10:19:51] MOVE chetan (red): 4→7 [0.1ms]
[2026-05-06 10:19:52] MOVE asha (blue): 113→117 [0.3ms]
[2026-05-06 10:19:53] MOVE chetan (red): 7→4 [0.1ms]
[2026-05-06 10:19:54] MOVE asha (blue): 119→112 [0.1ms]
[2026-05-06 10:19:55] MOVE chetan (red): 4→7 [0.2ms]
[2026-05-06 10:19:56] MOVE asha (blue): 112→119 [0.2ms]
[2026-05-06 10:19:57] MOVE chetan (red): 7→4 [0.3ms]
[2026-05-06 10:19:58] MOVE asha (blue): 117→113 [0.1ms]
[2026-05-06 10:19:59] MOVE chetan (red): 4→7 [0.1ms]
[2026-05-06 10:19:59] MOVE asha (blue): 113→117 [0.1ms]
[2026-05-06 10:20:00] MOVE chetan (red): 7→4 [0.1ms]
[2026-05-06 10:20:01] MOVE asha (blue): 119→112 [0.1ms]
[2026-05-06 10:20:02] MOVE chetan (red): 4→7 [0.2ms]
[2026-05-06 10:20:03] MOVE asha (blue): 112→119 [0.1ms]
[2026-05-06 10:20:04] MOVE chetan (red): 7→4 [0.1ms]
[2026-05-06 10:20:05] MOVE asha (blue): 117→114 [0.1ms]
[2026-05-06 10:20:06] MOVE chetan (red): 4→7 [0.1ms]
[2026-05-06 10:20:07] MOVE asha (blue): 114→117 [0.2ms]
[2026-05-06 10:20:08] MOVE chetan (red): 7→4 [0.2ms]
