[2026-05-06 14:08:50] GAME CREATED
[2026-05-06 14:08:56] PLAYER JOINED: chetan as red
[2026-05-06 14:09:44] MOVE asha (blue): 104→103 [0.3ms]
[2026-05-06 14:09:44] MOVE chetan (red): 18→19 [0.1ms]
[2026-05-06 14:09:44] MOVE asha (blue): 106→93 [0.4ms]
[2026-05-06 14:09:44] MOVE chetan (red): 19→31 [0.3ms]
[2026-05-06 14:09:44] MOVE asha (blue): 103→102 [0.1ms]
[2026-05-06 14:09:44] MOVE chetan (red): 31→30 [0.1ms]
[2026-05-06 14:09:45] MOVE asha (blue): 93→92 [0.1ms]
[2026-05-06 14:09:45] MOVE chetan (red): 30→29 [0.1ms]
[2026-05-06 14:09:45] MOVE asha (blue): 102→89 [0.1ms]
[2026-05-06 14:09:45] MOVE chetan (red): 29→28 [0.1ms]
[2026-05-06 14:09:45] MOVE asha (blue): 92→104 [0.2ms]
[2026-05-06 14:09:45] MOVE chetan (red): 28→15 [0.1ms]
[2026-05-06 14:09:45] MOVE asha (blue): 89→90 [0.1ms]
[2026-05-06 14:09:46] MOVE chetan (red): 15→14 [0.1ms]
[2026-05-06 14:09:46] MOVE asha (blue): 104→103 [0.1ms]
[2026-05-06 14:09:46] MOVE chetan (red): 14→13 [0.1ms]
[2026-05-06 14:09:46] MOVE asha (blue): 90→91 [0.1ms]
[2026-05-06 14:09:46] MOVE chetan (red): 13→26 [0.1ms]
[2026-05-06 14:09:46] MOVE asha (blue): 103→102 [0.1ms]
[2026-05-06 14:09:47] MOVE chetan (red): 26→27 [0.1ms]
[2026-05-06 14:09:47] MOVE asha (blue): 91→103 [0.2ms]
[2026-05-06 14:09:47] MOVE chetan (red): 27→14 [0.2ms]
[2026-05-06 14:09:47] MOVE asha (blue): 102→89 [0.2ms]
[2026-05-06 14:09:47] MOVE chetan (red): 14→15 [0.1ms]
[2026-05-06 14:09:47] MOVE asha (blue): 103→102 [0.1ms]
[2026-05-06 14:09:48] MOVE chetan (red): 15→16 [0.1ms]
[2026-05-06 14:09:48] MOVE asha (blue): 89→90 [0.1ms]
[2026-05-06 14:09:48] MOVE chetan (red): 16→17 [0.2ms]
[2026-05-06 14:09:48] MOVE asha (blue): 102→89 [0.1ms]
[2026-05-06 14:09:48] MOVE chetan (red): 17→18 [0.1ms]
[2026-05-06 14:09:48] MOVE asha (blue): 90→91 [0.3ms]
[2026-05-06 14:09:49] MOVE chetan (red): 18→19 [0.1ms]
[2026-05-06 14:09:49] MOVE asha (blue): 89→90 [0.1ms]
[2026-05-06 14:09:49] MOVE chetan (red): 19→31 [0.1ms]
[2026-05-06 14:09:49] MOVE asha (blue): 91→103 [0.1ms]
[2026-05-06 14:09:49] MOVE chetan (red): 31→30 [0.1ms]
[2026-05-06 14:09:49] MOVE asha (blue): 90→91 [0.1ms]
[2026-05-06 14:09:49] MOVE chetan (red): 30→29 [0.1ms]
[2026-05-06 14:09:50] MOVE asha (blue): 103→102 [0.1ms]
[2026-05-06 14:09:50] MOVE chetan (red): 29→28 [0.1ms]
[2026-05-06 14:09:50] MOVE asha (blue): 91→103 [0.2ms]
[2026-05-06 14:09:50] MOVE chetan (red): 28→15 [0.1ms]
[2026-05-06 14:09:50] MOVE asha (blue): 102→104 [0.1ms]
[2026-05-06 14:09:50] MOVE chetan (red): 15→14 [0.1ms]
[2026-05-06 14:09:51] MOVE asha (blue): 103→105 [0.1ms]
[2026-05-06 14:09:51] MOVE chetan (red): 14→13 [0.1ms]
[2026-05-06 14:09:51] MOVE asha (blue): 104→106 [0.1ms]
[2026-05-06 14:09:51] MOVE chetan (red): 13→26 [0.1ms]
[2026-05-06 14:09:51] MOVE asha (blue): 105→104 [0.2ms]
[2026-05-06 14:09:51] MOVE chetan (red): 26→27 [0.2ms]
[2026-05-06 14:09:52] MOVE asha (blue): 106→105 [0.1ms]
[2026-05-06 14:09:52] MOVE chetan (red): 27→14 [0.1ms]
[2026-05-06 14:09:52] MOVE asha (blue): 104→106 [0.1ms]
[2026-05-06 14:09:52] MOVE chetan (red): 14→15 [0.1ms]
[2026-05-06 14:09:52] MOVE asha (blue): 105→107 [0.2ms]
[2026-05-06 14:09:52] MOVE chetan (red): 15→16 [0.1ms]
[2026-05-06 14:09:52] MOVE asha (blue): 106→93 [0.1ms]
[2026-05-06 14:09:53] MOVE chetan (red): 16→17 [0.2ms]
[2026-05-06 14:09:53] MOVE asha (blue): 107→94 [0.1ms]
[2026-05-06 14:09:53] MOVE chetan (red): 17→18 [0.1ms]
[2026-05-06 14:09:53] MOVE asha (blue): 93→92 [0.1ms]
[2026-05-06 14:09:53] MOVE chetan (red): 18→19 [0.2ms]
[2026-05-06 14:09:53] MOVE asha (blue): 94→93 [0.2ms]
[2026-05-06 14:09:54] MOVE chetan (red): 19→31 [0.1ms]
[2026-05-06 14:09:54] MOVE asha (blue): 92→105 [1.7ms]
[2026-05-06 14:09:54] MOVE chetan (red): 31→30 [0.5ms]
[2026-05-06 14:09:54] MOVE asha (blue): 93→106 [0.1ms]
[2026-05-06 14:09:54] MOVE chetan (red): 30→29 [0.4ms]
[2026-05-06 14:09:54] MOVE asha (blue): 105→104 [3.3ms]
[2026-05-06 14:09:55] MOVE chetan (red): 29→28 [7.6ms]
[2026-05-06 14:09:55] MOVE asha (blue): 106→105 [13.2ms]
[2026-05-06 14:09:55] MOVE chetan (red): 28→15 [0.4ms]
[2026-05-06 14:09:55] MOVE asha (blue): 104→106 [0.4ms]
[2026-05-06 14:09:55] MOVE chetan (red): 15→14 [0.3ms]
[2026-05-06 14:09:56] MOVE asha (blue): 105→104 [1.5ms]
[2026-05-06 14:09:56] MOVE chetan (red): 14→13 [1.1ms]
[2026-05-06 14:09:56] MOVE asha (blue): 106→93 [0.1ms]
[2026-05-06 14:09:56] MOVE chetan (red): 13→26 [0.6ms]
[2026-05-06 14:09:56] MOVE asha (blue): 104→103 [0.1ms]
[2026-05-06 14:09:56] MOVE chetan (red): 26→27 [0.6ms]
[2026-05-06 14:09:57] MOVE asha (blue): 93→92 [0.1ms]
[2026-05-06 14:09:57] MOVE chetan (red): 27→14 [0.2ms]
[2026-05-06 14:09:57] MOVE asha (blue): 103→102 [0.1ms]
[2026-05-06 14:09:57] MOVE chetan (red): 14→15 [0.1ms]
[2026-05-06 14:09:57] MOVE asha (blue): 92→105 [0.2ms]
[2026-05-06 14:09:57] MOVE chetan (red): 15→16 [0.1ms]
[2026-05-06 14:09:58] MOVE asha (blue): 102→89 [0.1ms]
[2026-05-06 14:09:58] MOVE chetan (red): 16→17 [0.1ms]
[2026-05-06 14:09:58] MOVE asha (blue): 105→104 [0.1ms]
[2026-05-06 14:09:58] MOVE chetan (red): 17→18 [0.1ms]
[2026-05-06 14:09:58] MOVE asha (blue): 89→90 [0.2ms]
[2026-05-06 14:09:58] MOVE chetan (red): 18→19 [0.2ms]
[2026-05-06 14:09:59] MOVE asha (blue): 104→103 [0.1ms]
[2026-05-06 14:09:59] MOVE chetan (red): 19→31 [0.1ms]
[2026-05-06 14:09:59] MOVE asha (blue): 90→91 [0.1ms]
[2026-05-06 14:09:59] MOVE chetan (red): 31→30 [0.1ms]
[2026-05-06 14:09:59] MOVE asha (blue): 103→102 [0.1ms]
[2026-05-06 14:09:59] MOVE chetan (red): 30→29 [0.1ms]
[2026-05-06 14:10:00] MOVE asha (blue): 91→103 [0.4ms]
[2026-05-06 14:10:00] MOVE chetan (red): 29→28 [0.1ms]
[2026-05-06 14:10:00] MOVE asha (blue): 102→89 [0.1ms]
[2026-05-06 14:10:00] MOVE chetan (red): 28→15 [0.1ms]
[2026-05-06 14:10:00] MOVE asha (blue): 103→102 [0.1ms]
[2026-05-06 14:10:00] MOVE chetan (red): 15→14 [0.1ms]
[2026-05-06 14:10:01] MOVE asha (blue): 89→90 [0.2ms]
[2026-05-06 14:10:01] MOVE chetan (red): 14→13 [0.1ms]
[2026-05-06 14:10:01] MOVE asha (blue): 102→89 [0.1ms]
[2026-05-06 14:10:01] MOVE chetan (red): 13→26 [0.2ms]
[2026-05-06 14:10:01] MOVE asha (blue): 90→91 [0.1ms]
[2026-05-06 14:10:01] MOVE chetan (red): 26→27 [0.1ms]
[2026-05-06 14:10:02] MOVE asha (blue): 89→90 [0.5ms]
[2026-05-06 14:10:02] MOVE chetan (red): 27→14 [2.4ms]
[2026-05-06 14:10:02] MOVE asha (blue): 91→103 [0.1ms]
[2026-05-06 14:10:02] MOVE chetan (red): 14→15 [0.5ms]
[2026-05-06 14:10:02] MOVE asha (blue): 90→91 [0.1ms]
[2026-05-06 14:10:03] MOVE chetan (red): 15→16 [0.1ms]
[2026-05-06 14:10:03] MOVE asha (blue): 103→102 [0.1ms]
[2026-05-06 14:10:03] MOVE chetan (red): 16→17 [0.1ms]
[2026-05-06 14:10:03] MOVE asha (blue): 91→103 [0.2ms]
[2026-05-06 14:10:03] MOVE chetan (red): 17→18 [0.1ms]
[2026-05-06 14:10:03] MOVE asha (blue): 102→104 [0.1ms]
[2026-05-06 14:10:04] MOVE chetan (red): 18→19 [0.1ms]
[2026-05-06 14:10:04] MOVE asha (blue): 103→105 [0.1ms]
[2026-05-06 14:10:04] MOVE chetan (red): 19→31 [0.1ms]
