[2026-05-15 22:52:06] MOVE chetan (red): 26→32 [0.3ms]
[2026-05-15 22:52:07] MOVE asha (blue): 79→91 [0.2ms]
[2026-05-15 22:52:08] MOVE chetan (red): 32→51 [0.4ms]
[2026-05-15 22:52:09] MOVE asha (blue): 91→93 [0.5ms]
[2026-05-15 22:52:10] MOVE chetan (red): 51→30 [0.2ms]
[2026-05-15 22:52:11] MOVE asha (blue): 93→89 [0.3ms]
[2026-05-15 22:52:13] MOVE chetan (red): 30→41 [0.4ms]
[2026-05-15 22:52:14] MOVE asha (blue): 90→92 [0.2ms]
[2026-05-15 22:52:15] MOVE chetan (red): 31→29 [0.6ms]
[2026-05-15 22:52:16] MOVE asha (blue): 89→93 [0.3ms]
[2026-05-15 22:52:17] MOVE chetan (red): 17→19 [0.4ms]
[2026-05-15 22:52:18] MOVE asha (blue): 92→90 [6.7ms]
[2026-05-15 22:52:19] MOVE chetan (red): 40→17 [2.6ms]
[2026-05-15 22:52:20] MOVE asha (blue): 93→94 [0.3ms]
[2026-05-15 22:52:21] MOVE chetan (red): 15→13 [0.3ms]
[2026-05-15 22:52:23] MOVE asha (blue): 7→16 [0.2ms]
[2026-05-15 22:52:24] MOVE chetan (red): 13→15 [0.2ms]
[2026-05-15 22:52:25] MOVE asha (blue): 94→107 [0.4ms]
[2026-05-15 22:52:26] MOVE chetan (red): 56→47 [0.4ms]
[2026-05-15 22:52:27] MOVE asha (blue): 78→89 [0.3ms]
[2026-05-15 22:52:28] MOVE chetan (red): 41→30 [0.3ms]
[2026-05-15 22:52:29] MOVE asha (blue): 16→41 [0.2ms]
[2026-05-15 22:52:30] MOVE chetan (red): 30→26 [0.3ms]
[2026-05-15 22:52:31] MOVE asha (blue): 41→52 [0.3ms]
[2026-05-15 22:52:33] MOVE chetan (red): 29→16 [0.2ms]
[2026-05-15 22:52:34] MOVE asha (blue): 90→94 [0.3ms]
[2026-05-15 22:52:35] MOVE chetan (red): 27→29 [0.2ms]
[2026-05-15 22:52:36] MOVE asha (blue): 89→95 [0.3ms]
[2026-05-15 22:52:37] MOVE chetan (red): 26→30 [0.2ms]
[2026-05-15 22:52:38] MOVE asha (blue): 52→61 [0.3ms]
[2026-05-15 22:52:39] MOVE chetan (red): 30→26 [0.2ms]
[2026-05-15 22:52:40] MOVE asha (blue): 61→70 [0.2ms]
[2026-05-15 22:52:41] MOVE chetan (red): 26→30 [0.3ms]
[2026-05-15 22:52:43] MOVE asha (blue): 70→81 [0.5ms]
[2026-05-15 22:52:44] MOVE chetan (red): 30→26 [0.2ms]
[2026-05-15 22:52:45] MOVE asha (blue): 95→91 [0.2ms]
[2026-05-15 22:52:46] MOVE chetan (red): 26→30 [0.3ms]
[2026-05-15 22:52:47] MOVE asha (blue): 94→90 [0.4ms]
[2026-05-15 22:52:48] MOVE chetan (red): 30→26 [0.2ms]
[2026-05-15 22:52:49] MOVE asha (blue): 90→94 [0.3ms]
[2026-05-15 22:52:50] MOVE chetan (red): 26→30 [0.5ms]
[2026-05-15 22:52:51] MOVE asha (blue): 94→90 [0.3ms]
[2026-05-15 22:52:52] MOVE chetan (red): 30→26 [0.5ms]
[2026-05-15 22:52:53] MOVE asha (blue): 90→94 [0.3ms]
[2026-05-15 22:52:55] MOVE chetan (red): 26→30 [0.2ms]
[2026-05-15 22:52:56] MOVE asha (blue): 94→90 [0.3ms]
[2026-05-15 22:52:57] MOVE chetan (red): 30→26 [0.2ms]
[2026-05-15 22:52:58] MOVE asha (blue): 90→94 [0.2ms]
[2026-05-15 22:52:59] MOVE chetan (red): 26→30 [0.2ms]
[2026-05-15 22:53:00] MOVE asha (blue): 107→80 [0.2ms]
[2026-05-15 22:53:01] MOVE chetan (red): 30→26 [0.4ms]
[2026-05-15 22:53:02] MOVE asha (blue): 94→90 [0.4ms]
[2026-05-15 22:53:03] MOVE chetan (red): 29→25 [0.4ms]
[2026-05-15 22:53:05] MOVE asha (blue): 90→94 [0.5ms]
[2026-05-15 22:53:06] MOVE chetan (red): 25→29 [0.3ms]
[2026-05-15 22:53:07] MOVE asha (blue): 94→90 [0.5ms]
[2026-05-15 22:53:08] MOVE chetan (red): 29→25 [0.3ms]
